What is the intake for electronics and telecommunication department,Admission
What is the intake for electronics and telecommunication department,Admission
How many seats are available for electrical department,Admission
How many seats are allocate for electrical department,Admission
What is the intake for electrical department,Admission
How many seats are available in mechanical department,Admission
How many seats are allocate for mechanical department,Admission
What is the intake for mechanical department,Admission
How many seats are available for IT department,Admission
How many seats are available for information technology department,Admission
How many seats are allocate for information technology department,Admission
How many seats are allocate for IT department,Admission
What is the intake for information technology department,Admission
What is the intake for information technology department,Admission
What is the Prevoius year cut off for computer department,Admission
What is the Prevoius year cut off for civil department,Admission
What is the Prevoius year cut off for mechanical department,Admission
What is the Prevoius year cut off for electronics and telecommunication department,Admission
What is the Prevoius year cut off for information technology department,Admission
What is the Prevoius year cut off for electrical department,Admission
How does the college admission process work,Admission
What is eligibility criteria for taking admission in first year,Admission
What is eligibility criteria for taking admission in sanjivani college,Admission
What is eligibility criteria,Admission
Which documents are required while taking admission,Admission
Which documents are required admission,Admission
What are the timing for admission?,Admission
Where i can get information about admission process,Admission
Which documents are required for admission,Admission
Which documents are required for open category,Admission
Which documents are required for obc category,Admission
Where is ARC center,Admission
Who is the HOD of computer department?,dept_info
can you tell me HOD computer department?,dept_info
tell me about HOD of computer department,dept_info
please tell me the name of computer department HOD,dept_info
what is the name of HOD of computer department,dept_info
can you tell me something about computer department,dept_info
tell me about computer department,dept_info
please give me information of computer department,dept_info
can you tell me computer department information,dept_info
give me the details of computer department,dept_info
give me the information of computer department in your college,dept_info
can you tell me number of Faculty in computer department,dept_info
how many faculties are there in computer department,dept_info
give me the count of faculty in computer department,dept_info
how many faculty are there in department,dept_info
what is the minimum qualification of faculty in department,dept_info
what is minimum education required for faculty in computer department,dept_info
can you tell me the qualification needed in computer department,dept_info
tell me about faculties in department,dept_info
can you tell me something about computer department faculty,dept_info
how many labs are there in computer department,dept_info
tell me about practical labs in department,dept_info
how many labs are there in department,dept_info
how many number of labs are there in department,dept_info
tell me about facility in labs,dept_info
which facilities are available in department lab,dept_info
how many computers are there in each lab,dept_info
can you tell me the number of computers available in each lab,dept_info
please tell me the practical lab information of department,dept_info
how many number of lab assistants are there in department,dept_info
can you tell me something about classrooms in computer department,dept_info
how many classrooms are there in department,dept_info
how many number of classrooms are available in computer department,dept_info
please tell me about classes in department,dept_info
what is the capacity of classrooms in computer department,dept_info
which forums are available in department?,dept_info
can you tell me forums presents in computer department,dept_info
which are the Different commitee present in department,dept_info
Is there any library present in department,dept_info
how many books are available in department library,dept_info
tell me about computer department library,dept_info
what are the Facilities available in department,dept_info
which facilities are there in computer department,dept_info
tell me about facilities in computer department,dept_info
Is there Wifi facility present in department,dept_info
what is Department Vision,dept_info
tell me the department vision,dept_info
what is the vision of department,dept_info
can you say the vision of computer department,dept_info
what is Department Mission,dept_info
tell me about department mission,dept_info
what is the mission of department,dept_info
can you say the mission of computer department,dept_info
tell me about Department commitee,dept_info
what is ACES commitee,dept_info
which commitee is there in department,dept_info
tell me about department council,dept_info
can you tell me different sports played in department,dept_info
which sports are played in computer department,dept_info
which sports are played in ACES cup,dept_info
tell me about the program specific outcomes,dept_info
what are the program specific outcomes,dept_info
what are the program educational objectives,dept_info
tell me the program educational objectives,dept_info
what are the program outcomes,dept_info
can you tell me program outcomes,dept_info
do department have website,dept_info
give me the department website,dept_info
please tell me about computer department website,dept_info
what is the placement status of year 2019-20,placement
what is the placement status of year 2018-19,placement
please give me the placement details of year 2019-20,placement
please give me the placement details of year 2018-19,placement
which companies visit the college for placement in year 2019-20,placement
which companies visit the college for placement in year 2018-19,placement
does college provide coaching for placements,placement
tell me about various activities undertaken by college for placement,placement
does college provide aptitude training for placement,placement
what is the placement count of students in the year 2019-20,placement
what is the placement count of students in the year 2018-19,placement
how many students get placed in the year 2019-20,placement
how many students get placed in the year 2018-19,placement
tell me the placement count of current year,placement
what is the placement status of current year,placement
how many students get placed in current year,placement
which multinational companies visit the college in 2019-20,placement
which multinational companies visit the college in 2018-19,placement
how many companies visited college for placement,placement
does college help student for government jobs,placement
how many multinational companies visit college in current year,placement
does college assist student for gate coaching,placement
what is the highest package offered to students by college,placement
what is maximum package given to students by college,placement
tell me the highest package offered by college,placement
what is the percentage of students getting placed in current year,placement
how many percent of students got placed,placement
what is the lowest package offered to students by college,placement
what is minimum package given to students by college,placement
tell me the lowest package offered by college,placement
who is the training and placement officer of sanjivani college,placement
who is the training and placement officer of college,placement
tell me about placement officer of college,placement
who is the training and placement officer,placement
tell me about the placement policy rules,placement
what are the placement policy rules of college,placement
tell me about sanjivani college placement policy,placement
what are the rules and regulations about placement,placement
which department has maximum number of placemnts in current year,placement
department having maximum number of placements,placement
tell me the department which has more placements,placement
which department has more number of placements,placement
which core compinies visit college in year 2019-20,placement
which core compinies visit college in year 2018-19,placement
tell me about the core companies visited the college,placement
do college have enough infrastructure for conducting placements drives,placement
Can you tell something about college?,general_info
Can you tell general inforamtion about your college?,general_info
Can you tell general inforamtion about sanjivani college?,general_info
Can you tell some general inforamtion about your college?,general_info
Give some information about college?,general_info
Can you tell something about your college?,general_info
Give some general information about college?,general_info
Can you tell something about your college?,general_info
what is vision of your college,general_info
What is vision of sanjivani college,general_info
can you tell me the vision of sanjivani college,general_info
can you tell the vision of sanjivani college,general_info
What is vision of this college,general_info
what is mission of your college,general_info
What is mission of sanjivani college,general_info
can you tell me the mission of sanjivani college,general_info
what are the vision and mission of this college?,general_info
Tell me about vision and mission of this college?,general_info
what are the vision and mission of sanjivani college?,general_info
what are vision and mission of your college?,general_info
what are vision and mission of this institute?,general_info
what is the name of this college?,general_info
What is the name of your college?,general_info
Please tell me the name of your college,general_info
can u tell me the name of the college,general_info
tell me the name of your college,general_info
who is the chairman of sanjivani group of institutes,general_info
who is the chairman of sanjivani group,general_info
who is executive trustee of this institute,general_info
who is executive trustee of this college,general_info
who is executive trustee of the sanjivani college,general_info
who is managing trustee of this institute,general_info
who is managing trustee of the sanjivani college,general_info
who is managing trustee of this college,general_info
who is the trustee of your college,general_info
who is the trustee of this institute?,general_info
who is managing director of this institute,general_info
who is trustee of sanjivani college,general_info
who is managing director of this institute,general_info
who is managing director of this college,general_info
who is managing director of your college,general_info
who is managing director of sanjivani,general_info
who is managing director of sanjivani college,general_info
what is the name of your principal,general_info
can you tell me the name of your principal,general_info
name of your principal,general_info
what is the name of principal of this college,general_info
What is the name of principal of sanjivani college,general_info
What is the name of principal of sanjivani college of engineering,general_info
who is your principal,general_info
who is the principal of sanjivani college,general_info
who is the principal of sanjivani,general_info
who is the principal of sanjivani college of engineering,general_info
who is principal of this college?,general_info
who is the principal of this institute?,general_info
Is your college NBA accredited,general_info
Is sanjivani college NBA accredited,general_info
is college approved by NBA,general_info
is sanjivani college approved by NBA,general_info
is the college NBA approved,general_info
Does sanjivani college have NBA accreditation,general_info
is sanjivani NBA accredited,general_info
Do your college have NBA accreditation,general_info
is sanjivani college NBA accredited,general_info
Do your college have NBA evaluation,general_info
Do sanjivani college have NBA accreditation,general_info
Do sanjivani college have NBA evaluation,general_info
DO this college have NBA accreditation,general_info
is sanjivani college having naac evaluation?,general_info
is this college having naac evaluation?,general_info
is this institute having naac evaluation?,general_info
is college NAAC accredited,general_info
is sanjivani college NAAC accredited,general_info
Is your college NAAC accredited,general_info
is this college NAAC approved,general_info
is sanjivani NAAC accredited,general_info
is this college approved by NAAC,general_info
IS your college approved by NAAC,general_info
is your college having NAAC evaluation,general_info
is sanjivani college having NAAC evaluation,general_info
when was Sanjivani established ? ,general_info
when was your College established?,general_info
when was this college established?,general_info
when was sanjivani college established?,general_info
in which year your college was started?,general_info
in which year sanjivani was started ?,general_info
in which year sanjivani college was started ?,general_info
when was this institute established?,general_info
what is the foundation year of sanjivani college?,general_info
what is the foundation year of this college?,general_info
what is the foundation year of this institute?,general_info
sanjivani is affiliated to which university?,general_info
which university is your college affiliated to,general_info
your college is affiliated to which university,general_info
What are different achievemnts of your college?,general_info
What are different achievemnts of this institute?,general_info
what are awards received by your college?,general_info
what are the awards received by this institute?,general_info
which are different awards received by this institute?,general_info
which are different awards received by your college?,general_info
what are achievements of your college?,general_info
what are the achievements of this institute?,general_info
what are different achievements of sanjivani college?,general_info
what are the different student welfare schemes available in your college?,general_info
what are the different student welfare schemes available in this institute?,general_info
what types of schemes are provided by college for students?,general_info
what types of schemes are available for student welfare in this college?,general_info
which student welfare schemes are available in your college?,general_info
which student welfare schemes are available in this institute?,general_info
